"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"2100000000161","더불어민주당",155,7,0,1,0.886628270149231,0.957055214723926,0.0319354869425297,0.247500970959663,0,0,0
"2100000000162","더불어민주당",313,8,0,0,0.922623515129089,0.975077881619938,0.179437726736069,0.364191800355911,0,0,0
"2100000000163","국민의힘",187,29,3,12,0.679490566253662,0.861471861471861,0.876666963100433,0.2609783411026,0,0,0
"2100000000164","국민의힘",191,5,0,0,0.913650989532471,0.974489795918367,0.42386394739151,0.452777683734894,0,0,0
"2100000000165","더불어민주당",210,17,2,12,0.782180368900299,0.921161825726141,-0.372276157140732,0.0384642370045185,0,0,0
"2100000000166","더불어민주당",227,22,4,11,0.782443106174469,0.901515151515151,-0.453261762857437,0.529374480247498,0,0,0
"2100000000167","무소속",187,0,0,0,0.967159032821655,1,0.250020235776901,-0.0128303514793515,0,0,0
"2100000000168","국민의힘",196,5,0,3,0.877120673656464,0.975490196078431,0.63789826631546,-0.46627813577652,0,0,0
"2100000000169","무소속",169,32,11,39,0.6645148396492,0.828685258964143,-0.940273225307465,-0.340420782566071,0,0,0
"2100000000170","국민의힘",165,4,0,0,0.907926380634308,0.976331360946746,0.398026615381241,0.33119797706604,0,0,0
"2100000000171","더불어민주당",260,36,10,21,0.704556882381439,0.859327217125382,-0.63227915763855,0.0946958437561989,0,0,0
"2100000000172","국민의힘",116,5,0,1,0.838854074478149,0.959016393442623,0.395114094018936,-0.314075231552124,0,0,0
"2100000000173","더불어민주당",237,8,0,2,0.89203542470932,0.967611336032389,0.103957697749138,0.175565391778946,0,0,0
"2100000000174","더불어민주당",271,18,1,7,0.823855757713318,0.936026936026936,-0.301641434431076,-0.280921965837479,0,0,0
"2100000000175","국민의힘",241,6,0,0,0.889015972614288,0.975708502024291,0.404184132814407,-0.0160447079688311,0,0,0
"2100000000176","국민의힘",221,17,3,7,0.757724404335022,0.919354838709677,0.845410943031311,0.313470035791397,0,0,0
"2100000000177","더불어민주당",294,17,1,9,0.846470236778259,0.94392523364486,-0.264843642711639,-0.154360577464104,0,0,0
"2100000000178","국민의힘",274,3,0,0,0.941309869289398,0.989169675090253,0.451403379440308,-0.144585743546486,0,0,0
"2100000000179","국민의힘",138,15,2,9,0.751446962356567,0.896341463414634,0.878368735313416,-0.391793340444565,0,0,0
"2100000000180","더불어민주당",221,4,0,0,0.896999835968018,0.982222222222222,0.14720194041729,0.0185017324984074,0,0,0
"2100000000181","더불어민주당",261,9,0,0,0.87500786781311,0.966666666666667,0.270636022090912,0.453532069921494,0,0,0
"2100000000183","더불어민주당",312,6,0,1,0.906904458999634,0.981191222570533,0.221678182482719,0.0158002842217684,0,0,0
"2100000000187","국민의힘",150,14,1,5,0.784516572952271,0.911764705882353,0.610177278518677,-0.792264997959137,0,0,0
"2100000000188","더불어민주당",282,5,0,0,0.920439660549164,0.982578397212544,0.11949610710144,0.0493744723498821,0,0,0
"2100000000189","국민의힘",304,10,0,7,0.871543705463409,0.968847352024922,0.69856733083725,-0.388025313615799,0,0,0
"2100000000190","국민의힘",253,4,0,0,0.913930058479309,0.98443579766537,0.32519319653511,0.0264923814684153,0,0,0
"2100000000191","더불어민주당",203,10,0,2,0.88413417339325,0.953488372093023,-0.0418598987162113,0.109901078045368,0,0,0
"2100000000192","국민의힘",137,12,0,0,0.763653099536896,0.919463087248322,0.359774589538574,-0.224377349019051,0,0,0
"2100000000194","더불어민주당",191,2,0,0,0.951431512832642,0.989637305699482,0.207706034183502,0.117703318595886,0,0,0
"2100000000195","무소속",141,11,0,2,0.810524761676788,0.928571428571429,-0.0567860826849937,-0.104483142495155,0,0,0
"2100000000196","더불어민주당",238,21,2,17,0.787945032119751,0.91726618705036,-0.436570554971695,-0.414010316133499,0,0,0
"2100000000197","더불어민주당",240,5,0,0,0.926284432411194,0.979591836734694,0.261190176010132,0.161423727869987,0,0,0
"2100000000198","더불어민주당",210,32,5,13,0.712143123149872,0.857692307692308,-0.629710853099823,-0.200000390410423,0,0,0
"2100000000199","국민의힘",249,2,0,0,0.945189356803894,0.99203187250996,0.384221255779266,0.109307162463665,0,0,0
"2100000000201","국민의힘",196,6,0,0,0.886240720748901,0.97029702970297,0.537491858005524,0.0203535873442888,0,0,0
"2100000000202","더불어민주당",248,8,0,1,0.905203342437744,0.968871595330739,0.190875053405762,0.249440178275108,0,0,0
"2100000000203","더불어민주당",278,14,3,8,0.851461410522461,0.943894389438944,-0.165646746754646,0.588985204696655,0,0,0
