,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
30,서정숙,徐正淑,국민의힘,비례대표,2100000000123,101210,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,불참,9771254,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,WFU14784
31,심상정,沈相정,정의당,경기 고양시갑,2100000000140,101180,080191,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9770869,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,SU53086M
32,유정주,兪訂炷,더불어민주당,비례대표,2100000000165,101182,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,불참,9771266,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,0WL9321T
33,서일준,徐一俊,국민의힘,경남 거제시,2100000000122,101210,160019,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,불참,9771236,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,MR210505
34,김원이,金元二,더불어민주당,전남 목포시,2100000000058,101182,140001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771214,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,4L695580
35,윤창현,尹暢賢,국민의힘,비례대표,2100000000178,101210,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771240,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,40E3739H
36,장경태,張耿態,더불어민주당,서울 동대문구을,2100000000229,101182,010014,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,불참,9771110,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,RPN2293B
37,최재형,崔在亨,국민의힘,서울 종로구,2100000000302,101210,010001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771293,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,6RM29022
38,조은희,趙恩禧,국민의힘,서울 서초구갑,2100000000303,101210,010065,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771292,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,MQU41854
39,정성호,鄭成湖,더불어민주당,경기 양주시,2100000000241,101182,080195,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9770881,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,V429892C
40,조정식,趙正湜,더불어민주당,경기 시흥시을,2100000000259,101182,080058,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,불참,9770456,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,IN328264
