HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD
윤호중,尹昊重,더불어민주당,경기 구리시,2100000000180,101182,80051
윤후덕,尹厚德,더불어민주당,경기 파주시갑,2100000000181,101182,80169
윤희숙,尹喜淑,국민의힘,서울 서초구갑,2100000000182,101210,10065
이개호,李介昊,더불어민주당,전남 담양군함평군영광군장성군,2100000000183,101182,140108
이광재,李光宰,더불어민주당,강원 원주시갑,2100000000184,101182,100018
이규민,李圭閔,더불어민주당,경기 안성시,2100000000185,101182,80071
이낙연,李洛淵,더불어민주당,서울 종로구,2100000000186,101182,10001
이달곤,李達坤,국민의힘,경남 창원시진해구,2100000000187,101210,160121
이동주,李東洲,더불어민주당,비례대표,2100000000188,101182,240001
이만희,李晩熙,국민의힘,경북 영천시청도군,2100000000189,101210,150073
이명수,李明洙,국민의힘,충남 아산시갑,2100000000190,101210,120078
이병훈,李炳勳,더불어민주당,광주 동구남구을,2100000000191,101182,50015
이상민,李相珉,국민의힘,대전 유성구을,2100000000192,101210,60015
이상직,李相稷,무소속,전북 전주시을,2100000000193,101030,130034
이상헌,李相憲,더불어민주당,울산 북구,2100000000194,101182,70007
이성만,李成萬,무소속,인천 부평구갑,2100000000195,101030,40013
이소영,李素永,더불어민주당,경기 의왕시과천시,2100000000196,101182,80049
이수진,李秀眞,더불어민주당,서울 동작구을,2100000000197,101182,10060
이수진,李壽珍,더불어민주당,비례대표,2100000000198,101182,240001
이양수,李亮壽,국민의힘,강원 속초시인제군고성군양양군,2100000000199,101210,210032
이영,李永,국민의힘,비례대표,2100000000200,101210,240001
이용,李鏞,국민의힘,비례대표,2100000000201,101210,240001
이용빈,李龍彬,더불어민주당,광주 광산구갑,2100000000202,101182,50013
이용선,李庸瑄,더불어민주당,서울 양천구을,2100000000203,101182,10043
이용우,李龍雨,더불어민주당,경기 고양시정,2100000000204,101182,80190
이용호,李容鎬,국민의힘,전북 남원시임실군순창군,2100000000205,101210,130072
이원욱,李元旭,무소속,경기 화성시을,2100000000206,101030,80159
이원택,李源澤,더불어민주당,전북 김제시부안군,2100000000207,101182,130071
이은주,李恩周,정의당,비례대표,2100000000208,101180,240001
이인영,李仁榮,더불어민주당,서울 구로구갑,2100000000209,101182,10050
이장섭,李將燮,더불어민주당,충북 청주시서원구,2100000000210,101182,110039
이재정,李在汀,더불어민주당,경기 안양시동안구을,2100000000211,101182,80020
이정문,李楨文,더불어민주당,충남 천안시병,2100000000212,101182,120077
이종배,李鍾培,국민의힘,충북 충주시,2100000000213,101210,110005
이종성,李鍾成,국민의힘,비례대표,2100000000214,101210,240001
이주환,李周桓,국민의힘,부산 연제구,2100000000215,101210,20033
이채익,李埰益,국민의힘,울산 남구갑,2100000000216,101210,70003
이철규,李喆圭,국민의힘,강원 동해시태백시삼척시정선군,2100000000217,101210,210031
이탄희,李誕熙,더불어민주당,경기 용인시정,2100000000218,101182,80184
이태규,李泰珪,국민의힘,비례대표,2100000000219,101210,240001
이학영,李學永,더불어민주당,경기 군포시,2100000000220,101182,80059
이해식,李海植,더불어민주당,서울 강동구을,2100000000221,101182,10077
이헌승,李憲昇,국민의힘,부산 부산진구을,2100000000222,101210,20008
이형석,李炯錫,더불어민주당,광주 북구을,2100000000223,101182,50009
인재근,印在謹,더불어민주당,서울 도봉구갑,2100000000224,101182,10025
임오경,林五卿,더불어민주당,경기 광명시갑,2100000000225,101182,80029
임이자,林利子,국민의힘,경북 상주시문경시 ,2100000000226,101210,210037
임종성,林鍾聲,더불어민주당,경기 광주시을,2100000000227,101182,80179
임호선,林昊宣,더불어민주당,충북 증평군진천군음성군,2100000000228,101182,110040
장경태,張耿態,더불어민주당,서울 동대문구을,2100000000229,101182,10014
장제원,張濟元,국민의힘,부산 사상구,2100000000230,101210,20037
장철민,張喆敏,더불어민주당,대전 동구,2100000000231,101182,60001
장혜영,張惠英,정의당,비례대표,2100000000232,101180,240001
전봉민,田奉珉,국민의힘,부산 수영구,2100000000233,101210,20036
전용기,田溶冀,더불어민주당,비례대표,2100000000234,101182,240001
전재수,田載秀,더불어민주당,부산 북구강서구갑,2100000000235,101182,20013
전주혜,全珠惠,국민의힘,비례대표,2100000000236,101210,240001
전해철,全海澈,더불어민주당,경기 안산시상록구갑,2100000000237,101182,80037
전혜숙,全惠淑,더불어민주당,서울 광진구갑,2100000000238,101182,10009
